topology_cluster,n_threads,cluster_frac,mean_nodes,median_nodes,mean_depth,median_depth,mean_max_branch,mean_msg_count,median_msg_count,long_frac
0,996780,0.8402951882693517,0.9203615642368427,0.0,0.12882481590722125,0.0,0.3933204919841891,0.9203615642368427,0.0,0.006898212243423824
1,182177,0.1535769743708197,12.340372275314666,10.0,2.7907913732249408,2.0,6.8675244405166405,12.340372275314666,10.0,0.6378796445215368
2,7034,0.005929730085160838,78.01492749502417,65.0,4.545208984930339,3.0,54.81489906170031,78.01492749502417,65.0,1.0
3,235,0.00019810727466772774,400.83829787234043,314.0,2.574468085106383,2.0,373.4595744680851,400.83829787234043,314.0,1.0
